web_scraper_order,web_scraper_start_url,pagination-selector,price,data,image
"1770053921-31","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","39.00","บิ๊กซี แฮปปี้ ไพรซ์ อาหารแมว รสปลาทูน่าในเยลลี่ 400 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/05/88/8850356058505/thumbnail/8850356058505_1-20240205161623-.jpg"
"1770053921-32","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","48.00","มีโอ อาหารแมวชนิดเปียก สำหรับแมวโต รสทูน่า 400 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/00/88/8850477517400/thumbnail/8850477517400.jpg"
"1770053921-33","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","119.00","มีโอ ทรายแมว ชนิดจับตัวเป็นก้อน กลิ่นเลมอน 5 ล.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/65/88/8850477000865/thumbnail/8850477000865_1-20221223135508-.jpg"
"1770053921-34","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","199.00","มีโอ ทรายแมว กลิ่นแอปเปิ้ล 10 ล.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/08/88/8850477570108/thumbnail/8850477570108_1-20230411085803-.jpg"
"1770053921-35","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","23.00","มีโอ ดีไลท์ อาหารแมวสำเร็จรูปชนิดเปียก รสปลาทูน่าและไก่ฉีกในเยลลี่ 70 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/37/88/8850477018037/thumbnail/8850477018037_4.jpg"
"1770053921-36","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","29.00","บิ๊กซี แฮปปี้ ไพรซ์ โปร อาหารแมว รสปลาทูน่า ผสมกุ้งในเยลลี่ 85 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/06/88/8850356051506/thumbnail/8850356051506_1-20240202111106-.jpg"
"1770053921-37","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","18.00","มีโอ อาหารลูกแมวชนิดเปียก รสปลาทูน่า 80 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/10/88/8850477592810/thumbnail/8850477592810.jpg"
"1770053921-38","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","39.00","บิ๊กซี แฮปปี้ ไพรซ์ อาหารสุนัข รสไก่ 400 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/07/88/8850356054507/thumbnail/8850356054507_1-20230621133404-.jpg"
"1770053921-39","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","605.00","วิสกัส อาหารแมวชนิดเม็ด สูตรแมวโต รสปลาทู 7 กก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/90/93/9334214038490/thumbnail/9334214038490_1-20240624135654-.jpg"
"1770053921-40","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","25.00","สมาร์ทฮาร์ท อาหารแบบซองสำหรับสุนัขโต รสเนื้อไก่และตับในเยลลี่ 130 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/54/88/8850477837454/thumbnail/8850477837454.jpg"
"1770053921-41","https://www.bigc.co.th/category/pet-food-and-pet-supplies?limit=100&page=1","","18.00","วิสกัส เพาซ์ อาหารแมวชนิดเปียก สำหรับแมวโต รสปลาซาบะย่าง 80 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/86/88/8853301550086/thumbnail/8853301550086_1-20231030102704-.jpg"
