web_scraper_order,web_scraper_start_url,pagination-selector,price,data2,image
"1769948089-34","https://www.bigc.co.th/category/beverages?limit=100&page=23","","10.00","กาโตะ ไอซ์ซี่ น้ำองุ่นแดง 25% ผสมวุ้นมะพร้าว กลิ่นองุ่นเคียวโฮ 280 มล.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/01/88/8850624041901/thumbnail/8850624041901_1-20231226150738-.jpg"
"1769948089-35","https://www.bigc.co.th/category/beverages?limit=100&page=23","","10.00","คูลคูล เฟรช น้ำอัญชันมะนาวผสมน้ำผึ้งดอกลำไย 280 มล.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/30/88/8850624911730/thumbnail/8850624911730_1.jpg"
"1769948089-36","https://www.bigc.co.th/category/beverages?limit=100&page=23","","5.00","น้ำทิพย์ น้ำดื่ม 350 มล.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/23/88/8855199159723/thumbnail/8855199159723_1-20230123110041-.jpg"
"1769948089-37","https://www.bigc.co.th/category/beverages?limit=100&page=23","","32.00","ดอยคำ น้ำตะไคร้ผสมขิงและใบเตย เจ 500  มล.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/33/88/8850773511133/thumbnail/8850773511133_2.jpg"
"1769948089-38","https://www.bigc.co.th/category/beverages?limit=100&page=23","","52.00","สิงห์ น้ำดื่ม 1.5 ล. แพ็ค 6","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/21/88/8850999320021/thumbnail/8850999320021_1-20250715110836-.jpg"
"1769948089-39","https://www.bigc.co.th/category/beverages?limit=100&page=23","","30.00","โค้ก น้ำอัดลม รสออริจินัล สูตรน้ำตาลน้อยกว่า 1.5 ล.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/18/88/8851959143018/thumbnail/8851959143018-20250528124313-.jpg"
"1769948089-40","https://www.bigc.co.th/category/beverages?limit=100&page=23","","59.00","สิงห์ น้ำดื่ม 600 มล. x 15 ชิ้น","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/92/88/8850999023892/thumbnail/8850999023892_1-20250203110030-.jpg"
"1769948089-41","https://www.bigc.co.th/category/beverages?limit=100&page=23","","36.00","เป๊ปซี่ น้ำอัดลม 1.95 ล.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/14/88/8858998581214/thumbnail/8858998581214_1-20240228103840-.jpg"
"1769948089-42","https://www.bigc.co.th/category/beverages?limit=100&page=23","","62.00","คริสตัล น้ำดื่ม 1500 มล. แพ็ค 8","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/22/88/8851952150822/thumbnail/8851952150822_1-20251105104523-.jpg"
"1769948089-43","https://www.bigc.co.th/category/beverages?limit=100&page=23","","35.00","บิ๊กซี แฮปปี้ ไพรซ์ โปร น้ำดื่ม 1500 มล. แพ็ค 6","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/92/88/8854641002792/thumbnail/8854641002792_1-20251028181416-.jpg"
"1769948089-44","https://www.bigc.co.th/category/beverages?limit=100&page=23","","59.00","คริสตัล น้ำดื่ม 600 มล. แพ็ค 15","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/15/88/8851952150815/thumbnail/8851952150815_1-20251105104502-.jpg"
"1769948089-45","https://www.bigc.co.th/category/beverages?limit=100&page=23","","54.00","เนสท์เล่ เพียวไลฟ์ น้ำดื่ม 1.5 ล. แพ็ค 6","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/43/88/8850124003843/thumbnail/8850124003843_1-20250623111205-.jpg"
"1769948089-46","https://www.bigc.co.th/category/beverages?limit=100&page=23","","54.00","เนสท์เล่ เพียวไลฟ์ น้ำดื่ม 600 มล. แพ็ค 12","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/74/88/8850124003874/thumbnail/8850124003874_1-20250717163607-.jpg"
"1769948089-47","https://www.bigc.co.th/category/beverages?limit=100&page=23","","35.00","บิ๊กซี แฮปปี้ ไพรซ์ โปร น้ำดื่ม 600 มล. แพ็ค 12","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/85/88/8854641002785/thumbnail/8854641002785_1-20250117105322-20250121100352-.jpg"
"1769948089-48","https://www.bigc.co.th/category/beverages?limit=100&page=23","","85.00","สิงห์ เครื่องดื่มมะนาวโซดา 330 มล. x 6 ชิ้น","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/70/88/8850999016870/thumbnail/8850999016870_3-20240606174306-.jpg"
"1769948089-49","https://www.bigc.co.th/category/beverages?limit=100&page=23","","65.00","เฮลซ์บลูบอย น้ำหวานเข้มข้น กลิ่นสละ 710 มล.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/93/88/8850423000093/thumbnail/8850423000093_3.jpg"
"1769948089-50","https://www.bigc.co.th/category/beverages?limit=100&page=23","","39.00","โค้ก น้ำอัดลม รสออริจินัล สูตรน้ำตาลน้อยกว่า 1.95 ล.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/12/88/8851959129012/8851959129012_1-20250311080725-.jpg"
"1769948089-51","https://www.bigc.co.th/category/beverages?limit=100&page=23","","545.00","แบรนด์ เครื่องดื่มรังนกแท้สำเร็จรูป สูตรคลาสสิก ผสมน้ำตาลกรวด 42 มล. แพ็ค 6","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/47/88/8852001109747/thumbnail/8852001109747_3-20240815100943-.jpg"
"1769948089-52","https://www.bigc.co.th/category/beverages?limit=100&page=23","","52.00","น้ำทิพย์ น้ำดื่ม 1.5 ล. แพ็ค 6 ขวด","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/16/88/8851959643716/thumbnail/8851959643716_1-20250103102905-.jpg"
"1769948089-53","https://www.bigc.co.th/category/beverages?limit=100&page=23","","28.00","แฟนต้า น้ำอัดลม น้ำส้ม 1.5 ล.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/62/88/8851959143162/thumbnail/8851959143162_1-20251215152040-.jpg"
"1769948089-54","https://www.bigc.co.th/category/beverages?limit=100&page=23","","28.00","แฟนต้า น้ำอัดลม น้ำแดง 1.5 ล.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/79/88/8851959143179/thumbnail/8851959143179_1-20251215152058-.jpg"
"1769948089-55","https://www.bigc.co.th/category/beverages?limit=100&page=23","","52.00","น้ำทิพย์ น้ำดื่ม 550 มล. 12 ขวด","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/15/88/8851959439715/thumbnail/8855199461185_2-20250722085829-.jpg"
"1769948089-56","https://www.bigc.co.th/category/beverages?limit=100&page=23","","30.00","เป๊ปซี่ เครื่องดื่มอัดลม 1.45 ล.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/61/88/8858998581061/thumbnail/8858998581061_1-20250811150447-.jpg"
"1769948089-57","https://www.bigc.co.th/category/beverages?limit=100&page=23","","28.00","แฟนต้า น้ำอัดลม น้ำเขียว 1.5 ล.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/86/88/8851959143186/thumbnail/8851959143186_1-20251215132945-.jpg"
"1769948089-58","https://www.bigc.co.th/category/beverages?limit=100&page=23","","269.00","เนสกาแฟเรดคัพ กาแฟสำเร็จรูปผสมกาแฟคั่วบดละเอียด 360 ก.","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/04/88/8850124079404/thumbnail/8850124079404_1-20250926144610-.jpg"
"1769948089-59","https://www.bigc.co.th/category/beverages?limit=100&page=23","","99.00","มองต์เฟลอ น้ำดื่มน้ำแร่ธรรมชาติ 1.5 ล. แพ็ค 6","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/63/88/8851530133063/thumbnail/8851530133063_1-20251024095307-.jpg"
