web_scraper_order,web_scraper_start_url,pagination-selector,price,data,price2,image
"1770054171-1418","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","260.00","แคนนอน น้ำหมึกเครื่องพิมพ์ รุ่น GI-790Y สีเหลือง","฿279.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/41/45/4549292041941/thumbnail/4549292041941.jpg"
"1770054171-1419","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","260.00","แคนนอน น้ำหมึกเครื่องพิมพ์ รุ่น GI-790C สี Cyan","฿279.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/03/45/4549292041903/4549292041903.jpg"
"1770054171-1420","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","695.00","คอมโปร ลำโพง 2.1ch รุ่น CO-5000/N","฿1,390.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/10/88/8857119246810/thumbnail/8857119246810.jpg"
"1770054171-1421","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","5,990.00","คอมโปร ลำโพงบลูทูธ แบบตั้งพื้น รุ่น CO-3200","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/31/88/8857119999631/thumbnail/8857119999631.jpg"
"1770054171-1422","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","2,990.00","คอมโปร ลำโพงบลูทูธ แบบตั้งพื้น รุ่น CO-3000","฿3,990.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/24/88/8857119999624/thumbnail/8857119999624.jpg"
"1770054171-1423","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","1,140.00","มิตซูบิชิ พัดลมตั้งพื้น รุ่น R16A-GB ขนาด 16 นิ้ว คละสี","฿1,290.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/42/88/8850519122142/thumbnail/8850519122142_FAN-20230821230007-.jpg"
"1770054171-1424","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","12,290.00","มิตซูบิชิ ตู้เย็น 2 ประตู อินเวอเตอร์ รุ่น MR-FC35ES ขนาด 11.1 คิว คละสี","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/34/88/8850519328834/thumbnail/8850519328834_LB-20230720173044-.jpg"
"1770054171-1425","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","990.00","อีเลคโทรลักซ์ เครื่องปั่น รุ่น E3TB1-210K สีดำ","฿1,390.00","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/69/73/7332543803569/thumbnail/7332543803569_BLD-20230822081854-.jpg"
"1770054171-1426","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","38,900.00","แอปเปิ้ล ไอโฟน รุ่น iPhone 13 Pro (MLVA3TH/A) ขนาด 128GB สีเงิน","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/40/01/0194252715840/thumbnail/0194252715840.jpg"
"1770054171-1427","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","9,999.00","วีโว่ สมาร์ทโฟน รุ่น Y76 5G ขนาด 8/128 GB สีคอสมิก ออโรร่า","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/22/20/2000007459922/thumbnail/2000007459922.jpg"
"1770054171-1428","https://www.bigc.co.th/category/home-appliances-electronic-products?limit=100","","9,999.00","วีโว่ สมาร์ทโฟน รุ่น Y76 5G ขนาด 8/128 GB สีมิดไนท์สเปซ","","https://st.bigc-cs.com/cdn-cgi/image/format=webp,quality=85/public/media/catalog/product/15/20/2000007459915/thumbnail/2000007459915.jpg"
